Date,총거래물량,총거래금액,평균단가,평균단가 편차,지역,작물명
2021-05-01,3125747.0,4363720414,1396.0568190579725,217.47238888225047,전국,오이
2021-06-01,3804743.0,4259946100,1119.640958666591,493.888249273632,전국,오이
2021-07-01,4660693.4,4986686072,1069.945101301879,543.5841066383439,전국,오이
2021-08-01,4072645.7,5236380340,1285.744139245896,327.78506869432704,전국,오이
2021-09-01,3209176.5,4806252228,1497.6590499151418,115.87015802508108,전국,오이
2021-10-01,2261436.0,4302000670,1902.3313814761948,-288.80217353597186,전국,오이
2021-11-01,1335808.0,3661067450,2740.7138226451707,-1127.1846147049478,전국,오이
2021-12-01,736671.0,2060654150,2797.251622501768,-1183.722414561545,전국,오이
2022-01-01,1048602.0,3414667570,3256.400016402792,-1414.463120799824,전국,오이
2022-02-01,1107354.0,3013483380,2721.336970833175,-879.4000752302072,전국,오이
2022-03-01,1883007.6,5084039450,2699.9569465359564,-858.0200509329884,전국,오이
2022-04-01,2902520.0,4810035700,1657.1929564654165,184.74393913755148,전국,오이
2022-05-01,4147873.0,4920948000,1186.3786572057534,655.5582383972146,전국,오이
2022-06-01,3532824.0,5193565200,1470.0888580919966,371.8480375109714,전국,오이
2022-07-01,3242434.0,8470144282,2612.27962758841,-770.3427319854422,전국,오이
2022-08-01,3763579.5,7437230325,1976.1055465946715,-134.16865099170354,전국,오이
2022-09-01,3251011.8,4666167366,1435.296963855991,406.639931746977,전국,오이
2022-10-01,2830288.0,3910458650,1381.646903071348,460.2899925316199,전국,오이
2022-11-01,1902504.0,2390446050,1256.4736000555058,585.4632955474622,전국,오이
2022-12-01,1146901.5,3344765700,2916.349573176075,-1074.412677573107,전국,오이
2023-01-01,836660.2,3712481840,4437.2635868181615,-2512.409678323431,전국,오이
2023-02-01,823181.3,3717059750,4515.4812797618215,-2590.627371267091,전국,오이
2023-03-01,1783818.0,5470681700,3066.8384891283754,-1141.984580633645,전국,오이
2023-04-01,2609598.1,5247644200,2010.9012954906727,-86.04738699594282,전국,오이
2023-05-01,3792804.4,5172017100,1363.6392902307327,561.2146182639976,전국,오이
2023-06-01,4225482.7,5207902693,1232.4988794771305,692.3550290175999,전국,오이
2023-07-01,3585269.6,5885870125,1641.6813187493626,283.17258974536776,전국,오이
2023-08-01,1484507.4,2430590480,1637.3043879740849,287.5495205206455,전국,오이
2020-01-01,196129.0,166768400,850.2995477466361,-33.01040046925948,서울,양파
2020-02-01,161702.0,172359880,1065.910625718915,-248.62147844153844,서울,양파
2020-03-01,174813.0,207078050,1184.5689393809384,-367.2797921035618,서울,양파
2020-04-01,10802310.0,9554894100,884.5232269764523,-67.23407969907566,서울,양파
2020-05-01,12249069.0,8503744300,694.2359700969927,123.05317718038395,서울,양파
2020-06-01,781199.0,455898080,583.587639001074,233.70150827630263,서울,양파
2020-07-01,793879.0,539105400,679.0775420435608,138.21160523381582,서울,양파
2020-08-01,718992.0,694468576,965.891937601531,-148.6027903241544,서울,양파
2020-09-01,701246.0,726125760,1035.4793610230931,-218.1902137457165,서울,양파
2020-10-01,725315.0,807608520,1113.4590074657217,-296.16986018834507,서울,양파
2020-11-01,726494.0,857726100,1180.63755516219,-363.34840788481335,서울,양파
2020-12-01,612715.0,724541200,1182.5093232579584,-365.22017598058176,서울,양파
2021-01-01,521879.0,822796200,1576.6033889081568,-769.3089675215875,서울,양파
2021-02-01,351818.0,623866800,1773.2657226179444,-965.9713012313752,서울,양파
2021-03-01,1945804.0,2623923710,1348.5036057074608,-541.2091843208915,서울,양파
2021-04-01,14523344.0,12452281159,857.3976598640093,-50.10323847743996,서울,양파
2021-05-01,12948438.0,7098404462,548.205464010408,259.08895737616126,서울,양파
2021-06-01,797383.5,573549057,719.2888453297567,88.00557605681263,서울,양파
2021-07-01,569891.7,470523417,825.636549891848,-18.34212850527865,서울,양파
2021-08-01,624538.4,626516843,1003.1678484461484,-195.87342705957903,서울,양파
2021-09-01,858831.2,930574331,1083.5357762969022,-276.2413549103329,서울,양파
2021-10-01,682892.8,743638258,1088.9531387649715,-281.65871737840223,서울,양파
2021-11-01,734016.8,817446105,1113.6613017576708,-306.3668803711015,서울,양파
